AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4118.84615357, 4141.79487159, 4136.15384595, 4126.92307665, 4125.25640998, 4142.30769210, 4163.20512800, 4144.61538441, 4147.05128185, 4137.43589723, 4146.15384595, 4137.43589723, 4143.71794851, 4108.46153819,0
4116.41025614, 4121.15384588, 4122.56410229, 4116.79487152, 4130.38461511, 4145.38461518, 4132.05128178, 4127.94871767, 4130.12820485, 4136.53846133, 4138.46153826, 4126.02564075, 4112.94871767, 4122.82051255,0
4113.46153819, 4111.28205101, 4112.56410229, 4107.05128178, 4111.53846126, 4125.51282024, 4110.12820485, 4114.74358947, 4114.35897408, 4123.84615357, 4134.61538434, 4116.15384588, 4111.79487152, 4127.30769203,0
4110.12820485, 4124.87179460, 4122.56410229, 4114.99999973, 4104.23076896, 4121.41025614, 4129.10256383, 4124.99999973, 4125.51282024, 4126.02564075, 4146.41025621, 4125.89743562, 4137.43589723, 4112.56410229,0
4118.46153819, 4119.87179460, 4127.56410229, 4114.74358947, 4116.53846126, 4136.28205108, 4135.12820485, 4130.76923050, 4130.25640998, 4139.35897415, 4153.84615364, 4134.87179460, 4140.38461518, 4115.64102537,0
4122.94871767, 4117.56410229, 4130.89743562, 4116.15384588, 4128.97435870, 4131.92307665, 4122.17948691, 4128.33333306, 4125.51282024, 4133.71794844, 4157.43589723, 4141.92307672, 4138.71794851, 4124.23076896,0
4115.51282024, 4134.10256383, 4140.64102544, 4126.92307665, 4119.35897408, 4120.38461511, 4124.35897408, 4131.02564075, 4128.58974332, 4123.46153819, 4152.56410236, 4144.48717928, 4141.53846133, 4116.15384588,0
4110.76923050, 4113.46153819, 4125.76923050, 4112.05128178, 4100.89743555, 4119.99999973, 4115.89743562, 4119.87179460, 4119.23076896, 4118.58974332, 4134.61538434, 4120.89743562, 4112.56410229, 4116.28205101,0
4108.71794844, 4075.89743555, 4093.46153812, 4084.48717914, 4096.53846119, 4109.74358947, 4099.48717914, 4097.56410222, 4099.99999966, 4102.30769196, 4116.15384588, 4091.28205094, 4087.69230735, 4122.17948691,0
4105.76923050, 4096.41025607, 4097.17948684, 4091.28205094, 4097.43589709, 4115.51282024, 4119.87179460, 4101.79487145, 4106.92307665, 4099.61538427, 4110.25640998, 4096.28205094, 4104.61538434, 4116.41025614,0
4117.94871767, 4133.58974332, 4125.89743562, 4115.25640998, 4111.41025614, 4141.79487159, 4139.23076903, 4118.07692280, 4123.97435870, 4118.97435870, 4123.20512793, 4121.28205101, 4123.20512793, 4118.84615357,0
4131.66666639, 4141.79487159, 4136.41025621, 4132.69230742, 4138.97435877, 4140.51282031, 4131.02564075, 4117.43589716, 4125.64102537, 4131.28205101, 4152.17948697, 4136.02564082, 4126.15384588, 4123.46153819,0
4125.38461511, 4143.84615364, 4138.71794851, 4147.05128185, 4141.28205108, 4121.53846126, 4138.97435877, 4120.38461511, 4129.61538434, 4139.23076903, 4171.92307679, 4146.02564082, 4141.02564082, 4111.53846126,0
4119.23076896, 4139.23076903, 4139.48717928, 4140.51282031, 4116.15384588, 4123.46153819, 4141.66666646, 4126.41025614, 4136.41025621, 4135.64102544, 4162.69230749, 4146.66666646, 4150.38461518, 4109.61538434,0
4124.74358947, 4131.79487152, 4134.48717921, 4126.79487152, 4125.76923050, 4139.99999980, 4120.64102537, 4124.23076896, 4137.17948697, 4131.53846126, 4154.61538441, 4138.71794851, 4140.89743569, 4121.28205101,0
4122.05128178, 4151.66666646, 4142.17948697, 4139.99999980, 4146.02564082, 4144.61538441, 4129.61538434, 4130.25640998, 4143.33333313, 4161.15384595, 4170.12820499, 4147.94871774, 4150.38461518, 4116.79487152,0
4121.41025614, 4162.69230749, 4151.41025621, 4147.17948697, 4116.15384588, 4140.89743569, 4149.99999980, 4132.05128178, 4140.89743569, 4172.05128192, 4175.64102551, 4154.35897415, 4159.23076903, 4115.38461511,0
4120.64102537, 4127.69230742, 4129.23076896, 4122.05128178, 4105.25640998, 4133.58974332, 4129.74358947, 4109.74358947, 4120.12820485, 4132.43589716, 4151.41025621, 4125.25640998, 4127.56410229, 4125.89743562,0
4105.76923050, 4103.07692280, 4107.94871767, 4107.43589716, 4135.89743569, 4126.28205101, 4115.76923050, 4099.87179453, 4113.07692280, 4110.64102537, 4128.97435870, 4101.92307658, 4105.89743562, 4120.25640998,0
4105.12820485, 4119.35897408, 4119.61538434, 4115.89743562, 4137.82051262, 4136.02564082, 4133.20512793, 4109.61538434, 4119.23076896, 4125.76923050, 4132.69230742, 4113.33333306, 4113.58974332, 4115.38461511,0
4116.53846126, 4126.66666639, 4123.97435870, 4111.79487152, 4116.53846126, 4144.48717928, 4134.35897408, 4104.23076896, 4108.97435870, 4118.71794844, 4134.87179460, 4115.12820485, 4104.99999973, 4122.17948691,0
4117.56410229, 4121.92307665, 4118.84615357, 4107.05128178, 4114.10256383, 4134.35897408, 4132.05128178, 4102.17948684, 4104.87179460, 4099.35897402, 4130.38461511, 4108.20512793, 4099.23076889, 4121.28205101,0
