AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
3692.17948600, 3441.15384442, 3706.79487062, 3622.56410125, 3674.48717824, 3619.74358843, 3767.82051178, 3870.64102481, 4065.12820472, 3676.53846036, 3805.38461442, 3225.89743375, 3600.38461400, 4133.33333306,0
3677.69230651, 3412.17948538, 3681.79487062, 3580.76922938, 3635.89743458, 3588.07692169, 3736.28205017, 3842.43589661, 4057.69230728, 3645.51281927, 3779.48717852, 3192.69230547, 3572.94871649, 4132.05128178,0
3673.71794747, 3416.53845981, 3675.76922952, 3567.30769085, 3633.84615253, 3587.56410118, 3747.17948614, 3843.84615302, 4061.79487138, 3641.15384484, 3778.84615288, 3181.92307463, 3570.51281906, 4130.51282024,0
3679.61538344, 3431.92307519, 3686.28205010, 3581.28204990, 3649.48717824, 3597.30769092, 3763.33333229, 3864.10256327, 4071.02564068, 3657.82051157, 3789.48717852, 3197.94871573, 3590.25640887, 4131.92307665,0
3673.46153721, 3402.94871615, 3669.48717824, 3562.69230624, 3624.74358843, 3571.28204983, 3735.64102453, 3845.51281968, 4059.61538420, 3636.79487048, 3761.92307588, 3177.56410027, 3566.92307547, 4133.46153819,0
3671.53846029, 3397.43589563, 3668.58974234, 3559.23076778, 3615.76922945, 3566.92307547, 3731.92307582, 3833.84615295, 4057.17948677, 3633.84615253, 3753.07692204, 3169.23076694, 3558.07692162, 4130.64102537,0
3691.28205010, 3438.71794698, 3704.23076805, 3599.23076784, 3647.05128080, 3600.64102426, 3767.82051178, 3857.43589661, 4072.43589709, 3666.92307568, 3784.35897339, 3204.48717727, 3595.64102426, 4131.79487152,0
3679.61538344, 3430.12820339, 3691.79487062, 3593.07692169, 3641.66666535, 3597.69230631, 3759.48717845, 3855.51281968, 4066.79487138, 3654.74358850, 3769.48717845, 3191.53845932, 3582.43589605, 4133.33333306,0
3659.23076798, 3399.87179307, 3656.92307568, 3553.58974213, 3614.10256279, 3569.87179342, 3727.82051171, 3834.61538372, 4051.02564061, 3622.94871663, 3732.82051171, 3145.51281815, 3538.20512668, 4131.79487152,0
3676.53846036, 3422.82051109, 3673.33333209, 3561.79487034, 3624.61538330, 3577.56410118, 3733.46153735, 3831.66666577, 4054.61538420, 3632.56410125, 3742.30769127, 3153.20512592, 3551.41025495, 4132.43589716,0
3674.35897311, 3428.46153673, 3681.53846036, 3571.66666521, 3629.10256279, 3587.94871656, 3736.15384505, 3825.25640936, 4054.48717907, 3632.56410125, 3743.20512717, 3161.66666438, 3565.89743444, 4132.30769203,0
3656.79487055, 3393.07692127, 3652.05128080, 3547.05128060, 3599.99999861, 3563.07692162, 3717.17948607, 3813.58974269, 4043.46153805, 3602.56410118, 3711.28205017, 3128.46153610, 3532.05128053, 4133.46153819,0
3665.38461414, 3403.97435717, 3656.92307568, 3552.82051137, 3600.76922938, 3560.12820367, 3721.92307582, 3824.10256320, 4050.51282010, 3607.82051143, 3716.53846043, 3130.51281815, 3527.05128053, 4131.79487152,0
3672.05128080, 3427.05128032, 3673.46153721, 3562.05128060, 3612.05128073, 3574.74358829, 3727.43589633, 3824.35897346, 4053.58974318, 3620.76922945, 3728.46153735, 3150.38461303, 3539.99999848, 4131.79487152,0
3664.74358850, 3403.84615204, 3656.02563978, 3537.05128053, 3592.43589605, 3560.38461393, 3706.79487062, 3808.46153756, 4043.71794830, 3606.53846015, 3707.43589626, 3135.25640790, 3523.97435745, 4136.79487159,0
3662.69230645, 3394.48717768, 3651.92307568, 3539.10256258, 3586.02563964, 3551.02563957, 3699.10256293, 3811.79487090, 4046.66666625, 3606.41025502, 3704.23076805, 3133.84615149, 3520.25640873, 4131.28205101,0
3664.10256286, 3399.61538281, 3651.66666542, 3545.64102419, 3581.66666528, 3549.10256265, 3696.92307575, 3807.69230679, 4045.25640984, 3596.92307554, 3692.17948600, 3134.10256174, 3511.66666507, 4130.38461511,0
3647.43589619, 3377.69230582, 3626.41025509, 3514.10256258, 3552.43589598, 3528.71794719, 3674.99999875, 3790.38461442, 4036.15384567, 3574.87179342, 3661.53846029, 3109.23076680, 3482.69230610, 4137.69230749,0
3625.38461407, 3344.99999806, 3596.92307554, 3470.64102398, 3520.38461386, 3491.66666507, 3639.87179356, 3773.58974255, 4027.94871747, 3554.74358829, 3643.46153721, 3083.20512571, 3454.87179321, 4133.46153819,0
3625.38461407, 3328.07692114, 3578.07692169, 3451.53845987, 3501.92307533, 3464.61538295, 3618.84615253, 3751.66666563, 4014.74358926, 3520.12820360, 3622.69230638, 3066.66666417, 3429.10256237, 4133.33333306,0
3629.48717817, 3334.74358780, 3579.10256272, 3459.61538295, 3500.64102405, 3469.87179321, 3624.48717817, 3741.79487076, 4011.41025593, 3508.33333174, 3609.87179349, 3074.74358725, 3425.76922904, 4138.20512800,0
3621.79487048, 3332.30769037, 3577.05128060, 3448.07692141, 3492.82051123, 3461.41025475, 3612.30769099, 3733.97435787, 4009.61538413, 3508.07692148, 3596.41025502, 3076.02563853, 3417.30769057, 4141.92307672,0
3611.28204997, 3315.64102370, 3556.41025495, 3426.02563929, 3475.89743423, 3430.76922904, 3583.97435759, 3714.10256299, 3997.94871740, 3478.33333167, 3568.46153701, 3053.58974109, 3384.61538281, 4143.58974339,0
3617.17948586, 3314.87179293, 3550.89743444, 3428.07692134, 3474.48717782, 3426.92307519, 3581.66666528, 3706.41025523, 3999.23076868, 3468.84615218, 3570.51281906, 3058.33333084, 3382.43589563, 4136.66666646,0
