AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4044.23076882, 4068.20512779, 4079.74358940, 4068.71794830, 4087.94871761, 4117.17948691, 4132.94871767, 4125.89743562, 4120.76923050, 4105.64102537, 4089.74358940, 4079.99999966, 4102.82051255, 4123.84615357,0
4053.58974318, 4107.05128178, 4106.53846126, 4093.84615350, 4102.43589709, 4130.25640998, 4149.87179467, 4133.33333306, 4133.71794844, 4131.53846126, 4127.30769203, 4104.99999973, 4107.82051255, 4115.89743562,0
4062.94871754, 4103.46153819, 4108.33333306, 4088.33333299, 4099.87179453, 4133.84615357, 4145.51282031, 4126.41025614, 4126.41025614, 4132.05128178, 4124.35897408, 4107.43589716, 4096.15384581, 4126.79487152,0
4049.74358933, 4082.30769196, 4097.43589709, 4078.97435863, 4100.89743555, 4128.71794844, 4130.38461511, 4124.23076896, 4117.82051255, 4119.10256383, 4099.48717914, 4095.64102530, 4089.35897402, 4120.51282024,0
4053.07692266, 4080.64102530, 4098.71794837, 4084.23076889, 4091.66666632, 4122.69230742, 4128.97435870, 4126.41025614, 4116.02564075, 4113.71794844, 4091.41025607, 4090.89743555, 4093.20512786, 4123.71794844,0
4055.64102523, 4084.99999966, 4098.84615350, 4087.30769196, 4086.02564068, 4132.43589716, 4141.41025621, 4125.12820485, 4117.82051255, 4119.87179460, 4103.46153819, 4092.30769196, 4092.56410222, 4123.46153819,0
4049.35897395, 4084.74358940, 4096.15384581, 4080.76923043, 4101.02564068, 4134.87179460, 4146.28205108, 4120.12820485, 4122.17948691, 4127.30769203, 4112.82051255, 4094.23076889, 4097.17948684, 4118.97435870,0
4065.64102523, 4097.17948684, 4105.64102537, 4083.46153812, 4109.74358947, 4127.17948691, 4143.33333313, 4118.58974332, 4122.30769203, 4127.69230742, 4107.30769203, 4101.92307658, 4121.02564075, 4124.87179460,0
4066.92307651, 4126.02564075, 4119.99999973, 4105.51282024, 4124.10256383, 4149.10256390, 4144.74358954, 4128.97435870, 4124.61538434, 4132.56410229, 4113.97435870, 4116.79487152, 4129.23076896, 4117.82051255,0
4061.92307651, 4120.76923050, 4111.53846126, 4110.12820485, 4116.15384588, 4148.33333313, 4129.74358947, 4123.46153819, 4125.12820485, 4128.46153819, 4130.64102537, 4112.43589716, 4095.51282017, 4124.74358947,0
4067.05128164, 4102.56410229, 4107.94871767, 4112.82051255, 4106.02564075, 4125.25640998, 4123.46153819, 4114.61538434, 4125.25640998, 4132.94871767, 4138.84615364, 4109.23076896, 4097.17948684, 4125.12820485,0
4066.53846113, 4123.71794844, 4126.02564075, 4132.69230742, 4132.05128178, 4132.43589716, 4136.41025621, 4124.87179460, 4128.33333306, 4150.64102544, 4138.84615364, 4123.97435870, 4135.76923056, 4116.66666639,0
4071.15384581, 4126.15384588, 4122.17948691, 4126.66666639, 4125.38461511, 4130.51282024, 4134.99999973, 4126.15384588, 4123.07692280, 4134.48717921, 4134.61538434, 4119.87179460, 4125.38461511, 4126.79487152,0
4066.53846113, 4116.92307665, 4116.92307665, 4122.05128178, 4109.99999973, 4129.74358947, 4140.64102544, 4124.99999973, 4120.38461511, 4118.46153819, 4146.15384595, 4117.30769203, 4105.38461511, 4121.79487152,0
4058.07692266, 4127.17948691, 4121.28205101, 4132.17948691, 4126.15384588, 4144.10256390, 4142.17948697, 4119.74358947, 4116.66666639, 4124.99999973, 4142.69230749, 4113.46153819, 4108.71794844, 4121.66666639,0
