AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4048.58974318, 4070.76923043, 4051.53846113, 4062.17948677, 4029.10256362, 4042.05128164, 4029.61538413, 4023.84615336, 4020.64102516, 4022.05128157, 4026.92307644, 4035.25640977, 4052.30769189, 4144.87179467,0
4045.89743548, 4074.74358940, 4070.12820478, 4085.12820478, 4051.28205087, 4059.23076882, 4046.53846113, 4031.79487131, 4033.58974311, 4038.71794830, 4053.46153805, 4055.64102523, 4084.35897402, 4126.41025614,0
4018.84615336, 4119.87179460, 4106.92307665, 4124.74358947, 4090.89743555, 4102.82051255, 4092.94871761, 4056.53846113, 4067.30769189, 4097.30769196, 4098.58974325, 4099.48717914, 4133.20512793, 4093.20512786,0
4065.76923036, 4138.07692287, 4116.28205101, 4128.97435870, 4098.07692273, 4118.20512793, 4111.92307665, 4072.17948684, 4076.28205094, 4115.25640998, 4103.07692280, 4113.20512793, 4129.87179460, 4131.66666639,0
4057.17948677, 4120.89743562, 4097.05128171, 4115.76923050, 4089.87179453, 4102.94871767, 4088.20512786, 4058.58974318, 4059.48717907, 4087.69230735, 4086.92307658, 4092.05128171, 4106.41025614, 4127.56410229,0
4032.30769183, 4105.25640998, 4083.84615350, 4104.35897408, 4074.87179453, 4081.28205094, 4061.41025600, 4039.87179446, 4040.76923036, 4058.33333292, 4073.84615350, 4073.97435863, 4096.02564068, 4117.43589716,0
4040.38461497, 4100.64102530, 4078.46153812, 4104.10256383, 4070.51282017, 4074.87179453, 4054.87179446, 4036.66666618, 4040.12820472, 4053.97435856, 4065.64102523, 4067.56410215, 4082.94871761, 4129.23076896,0
4033.84615336, 4092.43589709, 4067.43589702, 4103.46153819, 4071.02564068, 4074.35897402, 4049.74358933, 4037.05128164, 4043.97435856, 4055.89743548, 4057.30769189, 4058.33333292, 4082.56410222, 4124.99999973,0
4037.43589702, 4078.84615350, 4055.64102523, 4082.05128171, 4051.02564061, 4063.71794830, 4042.94871754, 4033.07692259, 4034.48717900, 4037.82051241, 4041.02564061, 4049.61538420, 4086.28205094, 4127.17948691,0
4025.51282003, 4077.05128171, 4053.07692266, 4075.38461504, 4050.64102523, 4071.28205094, 4051.66666625, 4029.87179439, 4031.66666618, 4037.05128164, 4042.43589702, 4050.64102523, 4071.92307658, 4117.43589716,0
4034.23076875, 4073.33333299, 4054.99999959, 4083.33333299, 4064.10256369, 4075.64102530, 4051.41025600, 4029.74358926, 4029.10256362, 4046.28205087, 4050.64102523, 4048.33333292, 4055.51282010, 4128.33333306,0
4042.94871754, 4090.51282017, 4069.48717907, 4103.97435870, 4074.99999966, 4080.64102530, 4064.74358933, 4039.35897395, 4039.61538420, 4063.46153805, 4067.94871754, 4062.69230728, 4083.20512786, 4126.53846126,0
4038.20512779, 4115.51282024, 4087.94871761, 4124.48717921, 4082.94871761, 4095.89743555, 4092.30769196, 4050.89743548, 4062.56410215, 4088.07692273, 4094.87179453, 4090.89743555, 4124.87179460, 4117.05128178,0
4048.97435856, 4098.46153812, 4085.12820478, 4107.94871767, 4072.94871761, 4089.23076889, 4085.51282017, 4048.07692266, 4058.71794830, 4079.99999966, 4085.64102530, 4086.28205094, 4110.64102537, 4132.94871767,0
4039.10256369, 4093.58974325, 4088.71794837, 4103.07692280, 4071.92307658, 4090.25640991, 4081.28205094, 4049.61538420, 4053.58974318, 4076.66666632, 4078.07692273, 4082.17948684, 4106.66666639, 4125.12820485,0
4054.48717907, 4116.41025614, 4103.20512793, 4120.64102537, 4079.35897402, 4098.07692273, 4090.38461504, 4060.25640984, 4062.56410215, 4093.33333299, 4095.64102530, 4098.71794837, 4138.97435877, 4129.23076896,0
4058.33333292, 4117.05128178, 4098.58974325, 4121.66666639, 4081.53846119, 4089.74358940, 4081.92307658, 4058.84615343, 4062.82051241, 4091.79487145, 4097.69230735, 4097.17948684, 4133.97435870, 4127.82051255,0
4034.23076875, 4107.17948691, 4087.56410222, 4114.74358947, 4083.71794837, 4086.41025607, 4075.89743555, 4050.25640984, 4055.51282010, 4076.41025607, 4086.53846119, 4083.71794837, 4103.97435870, 4119.48717921,0
4044.48717907, 4101.53846119, 4070.89743555, 4103.71794844, 4071.15384581, 4078.46153812, 4065.12820472, 4041.66666625, 4040.51282010, 4054.10256369, 4061.53846113, 4066.66666625, 4079.23076889, 4136.66666646,0
4036.92307651, 4104.61538434, 4063.84615343, 4102.56410229, 4067.56410215, 4073.07692273, 4051.66666625, 4037.94871754, 4034.87179439, 4048.84615343, 4049.61538420, 4060.38461497, 4077.43589709, 4123.20512793,0
4053.07692266, 4138.97435877, 4104.74358947, 4136.53846133, 4097.82051248, 4104.10256383, 4082.56410222, 4056.92307651, 4057.17948677, 4083.07692273, 4087.69230735, 4098.33333299, 4125.12820485, 4121.02564075,0
4074.48717914, 4167.05128185, 4138.20512800, 4171.66666653, 4123.58974332, 4140.25641005, 4127.43589716, 4077.05128171, 4082.30769196, 4116.92307665, 4122.30769203, 4133.97435870, 4173.97435884, 4127.05128178,0
4045.38461497, 4133.97435870, 4108.20512793, 4150.12820492, 4109.48717921, 4129.61538434, 4116.02564075, 4068.20512779, 4074.87179453, 4105.89743562, 4098.58974325, 4107.94871767, 4136.66666646, 4116.28205101,0
4040.89743548, 4089.61538427, 4073.33333299, 4104.35897408, 4083.20512786, 4103.20512793, 4082.30769196, 4049.23076882, 4051.02564061, 4073.84615350, 4066.28205087, 4071.66666632, 4071.53846119, 4127.43589716,0
4044.23076882, 4114.35897408, 4089.35897402, 4117.82051255, 4095.76923043, 4118.58974332, 4098.71794837, 4056.66666625, 4059.10256369, 4083.58974325, 4085.64102530, 4088.97435863, 4106.66666639, 4119.87179460,0
4049.10256369, 4136.28205108, 4102.56410229, 4134.48717921, 4104.23076896, 4125.12820485, 4114.10256383, 4070.25640991, 4073.33333299, 4101.92307658, 4101.53846119, 4104.48717921, 4151.41025621, 4123.97435870,0
