AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4149.99999980, 4103.07692280, 4120.12820485, 4114.74358947, 4106.66666639, 4102.56410229, 4111.53846126, 4125.89743562, 4127.43589716, 4093.46153812, 4102.05128171, 4130.51282024, 4083.33333299, 4123.84615357,0
4134.35897408, 4090.12820478, 4110.64102537, 4103.71794844, 4096.92307658, 4095.51282017, 4094.61538427, 4106.53846126, 4111.53846126, 4078.71794837, 4090.76923043, 4115.89743562, 4075.25640991, 4121.15384588,0
4135.25640998, 4105.25640998, 4116.02564075, 4111.02564075, 4099.87179453, 4099.87179453, 4096.66666632, 4108.46153819, 4108.20512793, 4073.84615350, 4088.58974325, 4113.58974332, 4072.43589709, 4124.23076896,0
4153.71794851, 4125.12820485, 4124.87179460, 4121.66666639, 4114.35897408, 4110.12820485, 4106.53846126, 4116.92307665, 4114.10256383, 4077.43589709, 4090.38461504, 4123.58974332, 4075.64102530, 4127.05128178,0
4148.07692287, 4119.99999973, 4128.46153819, 4123.46153819, 4121.53846126, 4113.07692280, 4106.28205101, 4113.46153819, 4117.17948691, 4078.58974325, 4094.61538427, 4131.15384588, 4081.92307658, 4119.10256383,0
4142.69230749, 4116.66666639, 4136.02564082, 4129.74358947, 4120.89743562, 4109.99999973, 4103.71794844, 4112.56410229, 4120.64102537, 4084.10256376, 4101.92307658, 4137.30769210, 4087.43589709, 4120.64102537,0
4158.58974339, 4144.99999980, 4152.69230749, 4152.05128185, 4133.33333306, 4122.56410229, 4119.35897408, 4127.56410229, 4133.84615357, 4108.33333306, 4114.23076896, 4154.10256390, 4101.15384581, 4126.53846126,0
4155.89743569, 4146.28205108, 4148.20512800, 4146.53846133, 4128.58974332, 4125.76923050, 4121.53846126, 4131.41025614, 4134.23076896, 4117.82051255, 4108.84615357, 4150.38461518, 4098.58974325, 4123.07692280,0
4142.94871774, 4101.79487145, 4119.61538434, 4111.02564075, 4098.58974325, 4094.99999966, 4086.53846119, 4108.58974332, 4108.58974332, 4088.46153812, 4085.89743555, 4118.71794844, 4070.51282017, 4124.61538434,0
4151.15384595, 4097.17948684, 4117.69230742, 4115.51282024, 4103.33333306, 4085.38461504, 4078.58974325, 4104.61538434, 4108.33333306, 4084.74358940, 4094.48717914, 4117.56410229, 4074.99999966, 4125.89743562,0
4153.46153826, 4136.92307672, 4145.89743569, 4153.33333313, 4135.25640998, 4116.92307665, 4113.84615357, 4132.43589716, 4138.97435877, 4122.30769203, 4130.51282024, 4151.41025621, 4113.71794844, 4112.56410229,0
4150.38461518, 4138.58974339, 4153.07692287, 4151.66666646, 4130.25640998, 4124.23076896, 4120.89743562, 4136.66666646, 4140.89743569, 4129.10256383, 4135.25640998, 4157.82051262, 4122.30769203, 4112.05128178,0
4155.89743569, 4114.74358947, 4137.30769210, 4128.20512793, 4109.23076896, 4099.48717914, 4098.97435863, 4117.05128178, 4123.46153819, 4104.61538434, 4112.17948691, 4138.58974339, 4106.79487152, 4123.33333306,0
4158.33333313, 4129.87179460, 4145.38461518, 4143.84615364, 4117.56410229, 4107.69230742, 4110.89743562, 4124.35897408, 4131.66666639, 4106.53846126, 4116.92307665, 4147.56410236, 4112.43589716, 4119.74358947,0
4159.99999980, 4156.15384595, 4166.79487159, 4166.28205108, 4132.94871767, 4134.74358947, 4134.74358947, 4138.46153826, 4140.76923056, 4122.43589716, 4143.58974339, 4171.41025628, 4123.84615357, 4116.28205101,0
4164.10256390, 4152.69230749, 4161.53846133, 4157.05128185, 4132.69230742, 4128.33333306, 4126.92307665, 4129.99999973, 4130.51282024, 4114.74358947, 4140.89743569, 4165.38461518, 4116.28205101, 4124.10256383,0
4156.02564082, 4140.64102544, 4144.10256390, 4142.43589723, 4125.89743562, 4113.46153819, 4112.82051255, 4124.35897408, 4129.35897408, 4104.99999973, 4119.61538434, 4142.30769210, 4104.48717921, 4121.66666639,0
4140.38461518, 4119.99999973, 4126.79487152, 4128.58974332, 4112.05128178, 4102.56410229, 4095.51282017, 4114.10256383, 4122.43589716, 4091.28205094, 4097.82051248, 4119.74358947, 4083.97435863, 4117.94871767,0
4136.28205108, 4094.61538427, 4110.51282024, 4112.82051255, 4096.15384581, 4083.20512786, 4075.76923043, 4092.69230735, 4099.61538427, 4068.84615343, 4078.97435863, 4104.10256383, 4059.48717907, 4122.17948691,0
4136.79487159, 4103.84615357, 4116.92307665, 4119.23076896, 4104.10256383, 4085.12820478, 4085.25640991, 4100.25640991, 4103.46153819, 4073.71794837, 4085.25640991, 4113.20512793, 4066.79487138, 4115.38461511,0
4139.61538441, 4123.58974332, 4132.69230742, 4130.76923050, 4117.94871767, 4106.02564075, 4106.41025614, 4120.76923050, 4122.82051255, 4087.30769196, 4092.82051248, 4127.30769203, 4082.69230735, 4113.97435870,0
4147.56410236, 4107.30769203, 4123.71794844, 4119.10256383, 4108.97435870, 4105.76923050, 4106.28205101, 4113.58974332, 4117.69230742, 4078.20512786, 4072.43589709, 4116.66666639, 4072.56410222, 4125.89743562,0
4146.02564082, 4090.25640991, 4113.33333306, 4109.61538434, 4096.02564068, 4095.25640991, 4100.38461504, 4103.84615357, 4108.07692280, 4071.79487145, 4068.33333292, 4108.58974332, 4064.87179446, 4122.69230742,0
4144.87179467, 4110.38461511, 4128.07692280, 4118.84615357, 4103.84615357, 4107.05128178, 4109.99999973, 4123.20512793, 4124.61538434, 4094.61538427, 4099.23076889, 4127.82051255, 4087.05128171, 4114.99999973,0
4162.94871774, 4131.66666639, 4145.76923056, 4132.94871767, 4120.76923050, 4123.97435870, 4125.64102537, 4145.51282031, 4147.43589723, 4124.35897408, 4123.58974332, 4151.02564082, 4113.46153819, 4124.87179460,0
4165.12820492, 4132.69230742, 4155.51282031, 4146.92307672, 4128.07692280, 4131.53846126, 4137.17948697, 4149.10256390, 4156.41025621, 4140.12820492, 4137.43589723, 4162.17948697, 4129.99999973, 4124.35897408,0
4146.66666646, 4126.02564075, 4157.17948697, 4144.74358954, 4119.74358947, 4135.12820485, 4137.94871774, 4144.48717928, 4151.53846133, 4140.64102544, 4146.66666646, 4161.41025621, 4137.82051262, 4114.61538434,0
4151.41025621, 4119.10256383, 4151.02564082, 4128.71794844, 4107.94871767, 4135.12820485, 4133.71794844, 4139.35897415, 4145.12820492, 4135.38461518, 4139.99999980, 4155.12820492, 4127.82051255, 4118.97435870,0
4163.97435877, 4128.07692280, 4154.61538441, 4130.38461511, 4119.35897408, 4138.71794851, 4139.23076903, 4138.20512800, 4148.07692287, 4142.43589723, 4140.12820492, 4158.84615364, 4122.82051255, 4120.25640998,0
4159.48717928, 4140.38461518, 4166.02564082, 4146.79487159, 4133.33333306, 4143.07692287, 4145.51282031, 4139.74358954, 4151.41025621, 4152.82051262, 4148.07692287, 4167.94871774, 4133.58974332, 4118.20512793,0
4159.48717928, 4136.41025621, 4165.51282031, 4149.23076903, 4126.79487152, 4142.56410236, 4144.48717928, 4140.76923056, 4146.41025621, 4148.33333313, 4145.64102544, 4168.97435884, 4134.48717921, 4123.97435870,0
4161.28205108, 4138.07692287, 4158.58974339, 4144.35897415, 4127.43589716, 4139.23076903, 4138.46153826, 4135.12820485, 4137.17948697, 4130.25640998, 4141.66666646, 4166.02564082, 4127.69230742, 4123.20512793,0
4156.41025621, 4152.69230749, 4160.51282031, 4151.15384595, 4143.07692287, 4140.12820492, 4133.07692280, 4127.17948691, 4132.82051255, 4121.92307665, 4135.89743569, 4165.76923056, 4125.12820485, 4116.79487152,0
4157.05128185, 4144.99999980, 4151.79487159, 4144.23076903, 4139.74358954, 4137.69230749, 4127.05128178, 4119.61538434, 4120.89743562, 4114.35897408, 4112.56410229, 4152.30769210, 4107.69230742, 4121.02564075,0
4144.10256390, 4114.74358947, 4121.66666639, 4118.20512793, 4122.94871767, 4126.02564075, 4114.35897408, 4107.82051255, 4105.89743562, 4086.92307658, 4086.92307658, 4122.82051255, 4076.15384581, 4120.76923050,0
4134.87179460, 4105.38461511, 4111.41025614, 4111.41025614, 4126.92307665, 4120.64102537, 4106.66666639, 4104.99999973, 4109.48717921, 4075.89743555, 4082.05128171, 4114.99999973, 4071.28205094, 4116.53846126,0
4150.89743569, 4118.07692280, 4132.17948691, 4125.64102537, 4134.87179460, 4118.58974332, 4104.35897408, 4104.48717921, 4115.25640998, 4091.92307658, 4090.38461504, 4131.41025614, 4083.97435863, 4123.58974332,0
4156.02564082, 4127.30769203, 4144.23076903, 4135.12820485, 4131.02564075, 4114.35897408, 4101.15384581, 4101.15384581, 4113.97435870, 4104.10256383, 4101.92307658, 4143.71794851, 4089.74358940, 4126.02564075,0
4151.41025621, 4134.10256383, 4144.23076903, 4141.53846133, 4128.07692280, 4116.28205101, 4106.28205101, 4111.53846126, 4126.41025614, 4114.74358947, 4114.87179460, 4151.66666646, 4104.74358947, 4119.35897408,0
4162.94871774, 4143.33333313, 4152.56410236, 4144.99999980, 4131.28205101, 4127.94871767, 4123.46153819, 4130.64102537, 4146.02564082, 4137.56410236, 4123.97435870, 4162.69230749, 4126.92307665, 4120.38461511,0
4164.87179467, 4147.82051262, 4161.92307672, 4147.17948697, 4141.66666646, 4138.07692287, 4136.66666646, 4137.82051262, 4152.43589723, 4156.15384595, 4141.92307672, 4174.61538448, 4138.33333313, 4123.58974332,0
4152.43589723, 4148.07692287, 4160.38461518, 4153.84615364, 4148.71794851, 4143.33333313, 4141.28205108, 4140.76923056, 4153.07692287, 4155.76923056, 4153.33333313, 4177.94871781, 4139.35897415, 4120.38461511,0
4162.17948697, 4141.66666646, 4143.58974339, 4139.48717928, 4142.05128185, 4143.58974339, 4142.17948697, 4144.48717928, 4147.05128185, 4137.05128185, 4118.84615357, 4154.61538441, 4129.87179460, 4124.87179460,0
4168.07692287, 4130.76923050, 4128.84615357, 4119.48717921, 4137.94871774, 4138.07692287, 4137.05128185, 4134.23076896, 4132.82051255, 4117.56410229, 4096.53846119, 4136.02564082, 4112.82051255, 4127.56410229,0
4157.30769210, 4148.46153826, 4152.94871774, 4145.25641005, 4154.99999980, 4141.92307672, 4140.12820492, 4130.76923050, 4135.51282031, 4124.74358947, 4142.17948697, 4167.43589723, 4119.61538434, 4119.99999973,0
4160.51282031, 4176.28205115, 4177.94871781, 4168.71794858, 4159.87179467, 4143.20512800, 4142.17948697, 4132.17948691, 4138.46153826, 4135.64102544, 4177.56410243, 4194.74358961, 4134.23076896, 4122.43589716,0
4161.02564082, 4157.94871774, 4157.05128185, 4138.84615364, 4136.92307672, 4129.23076896, 4130.89743562, 4123.71794844, 4127.56410229, 4122.17948691, 4157.82051262, 4173.97435884, 4119.74358947, 4127.30769203,0
4157.82051262, 4147.94871774, 4162.05128185, 4135.38461518, 4139.23076903, 4136.53846133, 4140.25641005, 4136.79487159, 4138.33333313, 4125.64102537, 4165.38461518, 4183.97435884, 4131.79487152, 4121.15384588,0
4174.99999986, 4184.87179474, 4209.48717942, 4171.53846140, 4162.69230749, 4160.64102544, 4164.99999980, 4159.74358954, 4163.46153826, 4154.48717928, 4203.07692301, 4228.33333327, 4172.69230756, 4123.20512793,0
4177.69230756, 4188.07692294, 4206.53846147, 4164.48717928, 4155.38461518, 4157.82051262, 4162.94871774, 4154.99999980, 4159.61538441, 4160.25641005, 4196.66666653, 4222.30769224, 4162.17948697, 4128.33333306,0
4158.46153826, 4153.33333313, 4166.41025621, 4132.17948691, 4136.79487159, 4147.30769210, 4157.94871774, 4149.87179467, 4149.74358954, 4151.41025621, 4171.41025628, 4191.02564089, 4129.87179460, 4122.43589716,0
